Rank,Title,Citations,Year,URL,Description
11,Coupling application design and user interface design,196,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:YsMSGLbcyi4C,"Building an interactive application involves the design of both a data model and a graphical user interface (GUI) to present that model to the user. These two design activities are typically approached as separate tasks and are frequently undertaken by different individuals or groups. Our apporach eliminated redundant specification work by generating an interface directly from the data model itself. An inference engine using style rules for selecting and placing GUI controls (i.e., widgets) is integrated with an interface design tool to generate a user interface definition. This approach allows a single data model to be mapped onto multiple GUI's by substituting the appropriate rule set and thus represents a step toward a GUI-independent run-time layout facility."
12,UIDE—an intelligent user interface design environment,176,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:W7OEmFMy1HYC,"The User Interface Software Group at CMU is investigating ways to make the design, prototyping, and implementation of user interfaces substantially easier. Unlike other user interface development environments that deal only with widgets like menus,..."
13,Coupling a UI framework with automatic generation of context-sensitive animated help,162,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:WF5omc3nYNoC,"Animated help can assist users in understanding how to use computer application interfaces. An animated help facility integrated into a runtime user interface support tool requires information pertaining to user interfaces, the applications being supported, the relationships between interface and application and precise detailed information sufficient for accurate illustrations of interface components. This paper presents aknowledge model developed to support such an animated help facility. Continuing our research efforts towards automatic generation of user interfaces from specifications, a framework has been developed to utilize one knowledge model to automatically generate animated help at runtime and to assist the management of user interfaces. Cartoonist is a system implemented based on the framework.Without the help facility, Cartoonist functions as a knowledge-driven user interface. With the help facility …"
14,Providing high-level control and expert assistance in the user interface presentation design,155,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:ufrVoPGSRksC,"Current user interface builders provide only low-level assistance, because they have knowledge of neither the application, nor the principles by which interface elements are combined effectively. We have developed a framework that unites the knowledge components essential for effective user interface presentation design. The framework consists of an application model (both a data model and a control model), a design process model that supports top-down iterative development, and graphic design knowledge that is used both to place dialog box elements such that their application dependent logical relationships are visually reinforced and to control design symmetry and balance. To demonstrate the framework's viability, we have constructed a tool based on encapsulated design knowledge that establishes high-level style preferences and provides expert assistance for the dialog box presentation design and …"
15,A knowledge-based user interface management system,145,1988,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:eQOLeE2rZwMC,"A knowledge base which defines a user-computer interface is described. The knowledge base serves as input to a user interface management system, which implements the user interface. However, the knowledge base represents user interface design knowledge at a level of abstraction higher than is typical of user interface management systems. In particular, it represents objects, actions, attributes of objects, an object class hierarchy, and pre- and post-conditions on the actions. The knowledge base can be algorithmically transformed into a number of functionally equivalent interfaces, each of which is slightly different from the original interface. The transformed interface definition can be input to the UIMS, providing a way to quickly experiment with a family of related interfaces."
16,Defining interfaces at a high level of abstraction,120,1989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:_FxGoFyzp5QC,"One of the newest user-interface management systems, the User-Interface Development Environment, is described by its creators. UIDE is built around a knowledge-based representation of the conceptual design of a user interface. UIDE supports design at a high-level specification of the interface from information provided by the designer. By using the same knowledge base, the interface developer can generate a new interface design with the same functionality as the original design. This lets users try many functionally equivalent interfaces for the same application.<>"
17,Automating interface evaluation,118,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:LkGwnXOMwfcC,"Onc method for user interface analysis that has proven successful is formal interface analysis, such as GOMS-bascd analysis. Such methods are often criticized for being clifficult to learn, or at the very least an additional burden for the system designer. However, if the process of constructing and using formal models could be automated as part of the interface design environment, such models could bc of even greater value, This paper describes an early version of such a system, called USAGE(the UIDE System for semi-Automated GOMS Evaluation). Given the application model necessary to drive the UIDE system, USAGE generates an NGOMSL model of the intcrfacc which can be “run” on a typical set of user tasks and provide execution and learning time estimates."
18,Virtual reality in medicine,114,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:MhiOAD_qIWkC,"Virtual reality (VR), as part of computer science, allows computer-based models of the real world to be generated, and provides humans with a means to interact with these models through new human-computer interfaces and, thus, to nearly realistically experience these models. This contribution explores the technical requirements for VR, describes technological advances and deficits, and analyzes the framework for future technological research and development. Although some non-medical applications are discussed, this contribution focuses primarily on medical applications of VR and outlines future prospects of medical VR applications. Finally, possible hazards arising from the use of VR are discussed. The authors recommend an interdisciplinary approach to technology assessment of VR."
19,Resultmaps: Visualization for search interfaces,110,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:qxL8FJ1GzNcC,"Hierarchical representations are common in digital repositories, yet are not always fully leveraged in their online search interfaces. This work describes ResultMaps, which use hierarchical treemap representations with query string-driven digital library search engines. We describe two lab experiments, which find that ResultsMap users yield significantly better results over a control condition on some subjective measures, and we find evidence that ResultMaps have ancillary benefits via increased understanding of some aspects of repository content. The ResultMap system and experiments contribute an understanding of the benefits-direct and indirect-of the ResultMap approach to repository search visualization."
20,JF hughes,104,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:rHJHxKgnXwkC,Description not available
