Rank,Title,Citations,Year,URL,Description
11,Event services for high performance computing,104,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:2osOgNQ5qMEC,"The Internet and the Grid are changing the face of high-performance computing. Rather than tightly-coupled SPMD-style components running in a single cluster, on a parallel machine, or even on the Internet programmed in MPI, applications are evolving into sets of collaborating components scattered across diverse computational elements. These collaborating components may run on different operating systems and hardware platforms and may be written by different organizations in different languages. Complete ""applications"" are constructed by assembling these components in a plug-and-play fashion. This new vision for high-performance computing demands features and characteristics which are not easily provided by traditional high-performance communications middleware. In response to these needs, we have developed ECho, a high-performance event-delivery middleware that meets the new demands …"
12,Just in time: adding value to the io pipelines of high performance applications with jitstaging,97,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:3fE2CSJIrl8C,"Large scale applications are generating a tsunami of data, with understanding driven by finding information hidden within this data. The ever-increasing sizes of output, however, are making it difficult for science users to inspect the data generated by their applications, understand its important properties, and/or organize it for subsequent analysis and visualization. This paper presents JITStager, a software infrastructure with which end users can dynamically customize and thus, add value to the output pipelines of their HEC applications. JITStager is able to customize data at scale, by leveraging the computational power of both compute nodes and of additional `data staging' nodes allocated by end users. Using existing, componentized I/O interfaces to decouple the compile-time specification of the program and the run-time customization of the data pipeline, JITStager employs efficient runtime methods for binary …"
13,Resource-aware distributed stream management using dynamic overlays,85,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:qjMakFHDy7sC,"We consider distributed applications that continuously stream data across the network, where data needs to be aggregated and processed to produce a 'useful' stream of updates. Centralized approaches to performing data aggregation suffer from high communication overheads, lack of scalability, and unpredictably high processing workloads at central servers. This paper describes a scalable and efficient solution to distributed stream management based on (1) resource-awareness, which is middleware-level knowledge of underlying network and processing resources, (2) overlay-based in-network data aggregation, and (3) high-level programming constructs to describe data-flow graphs for composing useful streams. Technical contributions include a novel algorithm based on resource-aware network partitioning to support dynamic deployment of dataflow graph components across the network, where efficiency of …"
14,An object-based infrastructure for program monitoring and steering,76,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:UeHWp8X0CEIC,"Program monit, oring and steering systems can provide invaluable insight into the behavior of complex parallel and distril) uted applications. But the traditional event-streambased approach to program monitoring does not scale well with increasing complexity. This paper introduces the Mirror Object Model, a new approach for program monitoring and steering systems. This approach provides a higher-level object-based abstraction that links the producer and the consumer of data and provides a seamless model which integrates monitoring and steering computation. We also introduce thr Mirror Object Steering System (MOSS), an implementation of the Mirror Object Model based on CORBA-style objects. This paper demonstrates the advantages of MOSS over traditional event-stream-based monitoring systems in handling complex situations. Additionally, we show that t. hr additional functionality of MOSS can be …"
15,Publish-subscribe for high-performance computing,59,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:YsMSGLbcyi4C,"High-performance computing could significantly benefit from publish-subscribe communication, but current systems don't deliver the kind of performance required by applications in that domain. In response, the authors developed Echo, a high-performance event-delivery middleware designed to scale to the data rates typically found in grid environments. This article provides an overview of Echo, the infrastructure on which it's built, and the techniques used to implement it."
16,Event-based systems: Opportunities and challenges at exascale,57,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:Wp0gIr-vW9MC,"Streaming data models have been shown to be useful in many applications requiring high-performance data exchange. Application-level overlay networks are a natural way to realize these applications' data flows and their internal computations, but existing middleware is not designed to scale to the data rates and low overhead computations necessary for the high performance domain. This paper describes EVPath, a middleware infrastructure that supports the construction and management of overlay networks that can be customized both in topology and in the data manipulations being performed. Extending from a previous high-performance publish-subscribe system, EVPath not only provides for the low overhead movement and in-line processing of large data volumes, but also offers the flexibility needed to support the varied data flow and control needs of alternative higher-level streaming models. We explore …"
17,Falcon-toward interactive parallel programs: The on-line steering of a molecular dynamics application,55,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:zYLM7Y9cAGgC,"The paper focuses on the opportunities and costs of online steering as applied to a substantial parallel application. We demonstrate potential performance improvements through the use of the Falcon system, an experimental system for the online monitoring and steering of parallel programs. The visual presentation of program output along with animated displays of program performance information via Falcon's monitoring system enables the online capture, analysis, and display of program information required for program steering. Falcon also provides the mechanisms for the manipulations of program state that accomplish this online steering.<>"
18,Coupling exascale multiphysics applications: Methods and lessons learned,48,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:AXPGKjj_ei8C,"With the growing computational complexity of science and the complexity of new and emerging hardware, it is time to re-evaluate the traditional monolithic design of computational codes. One new paradigm is constructing larger scientific computational experiments from the coupling of multiple individual scientific applications, each targeting their own physics, characteristic lengths, and/or scales. We present a framework constructed by leveraging capabilities such as in-memory communications, workflow scheduling on HPC resources, and continuous performance monitoring. This code coupling capability is demonstrated by a fusion science scenario, where differences between the plasma at the edges and at the core of a device have different physical descriptions. This infrastructure not only enables the coupling of the physics components, but it also connects in situ or online analysis, compression, and …"
19,Vscope: middleware for troubleshooting time-sensitive data center applications,47,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:r0BpntZqJG4C,"Data-Intensive infrastructures are increasingly used for on-line processing of live data to guide operations and decision making. VScope is a flexible monitoring and analysis middleware for troubleshooting such large-scale, time-sensitive, multi-tier applications. With VScope, lightweight anomaly detection and interaction tracking methods can be run continuously throughout an application’s execution. The runtime events generated by these methods can then initiate more detailed and heavier weight analyses which are dynamically deployed in the places where they may be most likely fruitful for root cause diagnosis and mitigation. We comprehensively evaluate VScope prototype in a virtualized data center environment with over 1000 virtual machines (VMs), and apply VScope to a representative on-line log processing application. Experimental results show that VScope can deploy and operate a variety of on-line …"
20,Implementing diverse messaging models with self-managing properties using IFLOW,47,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:WF5omc3nYNoC,"Implementing self-management is hard, especially when building large scale distributed systems. Publish/subscribe middlewares, scientific visualization and collaboration tools and corporate operational information systems are examples of one class of systems, distributed information flow infrastructures, that could benefit from self management. This paper presents IFLOW, an autonomic middleware for implementing these different distributed systems in a self-managing way. IFLOW reduces different messaging models down to a common information flow abstraction, creates a self-managing implementation of that abstraction and then provides a substrate for building diverse information flow systems. We describe the design and implementation of IFLOW and describe case studies of implementing different messaging models as self-managing systems."
