Rank,Title,Citations,Year,URL,Description
11,Biconical-dominated accretion flow onto seed black holes in a hyperaccretion regime,11,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:kNdYIx-mwKoC,"Hyperaccretion occurs when the gas inflow rate onto a black hole (BH) is so high that the radiative feedback cannot reverse the accretion flow. This extreme process is a promising mechanism for the rapid growth of seed BHs in the early universe, which can explain high-redshift quasars powered by billion solar mass BHs. In theoretical models, spherical symmetry is commonly adopted for hyperaccretion flows; however, the sustainability of such structures on timescales corresponding to the BH growth has not been addressed yet. Here we show that stochastic interactions between the ionizing radiation from the BH and nonuniform accretion flow can lead to the formation of a rotating gas disk around the BH. Once the disk forms, the supply of gas to the BH preferentially occurs via biconical-dominated accretion flow perpendicular to the disk, avoiding the centrifugal barrier of the disk. Biconical dominated accretion …"
12,The role of Compton heating in radiation-regulated accretion on to black holes,10,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:9yKSN-GCB0IC,"We investigate the role of Compton heating in radiation-regulated accretion on to black holes (BHs) from a neutral dense medium using 1D radiation-hydrodynamic simulations. We focus on the relative effects of Compton-heating and photoheating as a function of the spectral slope α, assuming a power-law spectrum in the energy range of 13.6 eV–100 keV. While Compton heating is dominant only close to the BH, it can reduce the accretion rate to 0.1 ( model)–0.01 per cent ( model) of the Bondi accretion rate when the BH radiation is hard (α ∼ 1), where l and are the luminosity and accretion rate normalized by Eddington rates, respectively. The oscillatory behaviour otherwise typically seen in simulations with α > 1, become suppressed when α ∼ 1 only for the model. The relative importance of the Compton heating over photoheating decreases and the oscillatory behaviour becomes stronger as …"
13,Accelerated growth of seed black holes by dust in the early universe,6,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:ZeXyd9-uunAC,"We explore the effect of dust on the growth of seed black holes (BHs) in the early universe. Previous 1D radiation-hydrodynamic (RHD) simulations show that increased radiation pressure on dust further suppresses the accretion rate than the case for the chemically pristine gas. Using the Enzo+Moray code, we perform a suite of 3D RHD simulations of accreting BHs in a dusty interstellar medium (ISM). We use the modified Grackle cooling library to consider dust physics in its nonequilibrium chemistry. The BH goes through an early evolutionary phase, where ionizing BH radiation creates an oscillating H ii region as it cycles between accretion and feedback. As the simulations proceed, dense cold gas accumulates outside the ionized region where inflow from the neutral medium meets the outflow driven by radiation pressure. In the late phase, high-density gas streams develop and break the quasi-spherical …"
14,"Erratum:“Gaseous Dynamical Friction in Presence of Black Hole Radiative Feedback”(2017, ApJ, 838, 103)",6,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:IWHjjKOFINEC,"The fifth and sixth sentences should read:“The magnitude of this acceleration is∼ 60% of the classical value in the absence of radiative feedback, implying that MBHs in this regime may accelerate significantly over timescales that determine their motion and properties of their environment. Our results suggest that MBHs at the lower-mass end of the spectrum are more likely to find themselves in the negative dynamical friction regime, which, compounded with inefficiency of the gas drag for lower-mass objects in general, implies that< 10 7 M⊙ MBHs have fewer means to reach the centers of merged galaxies.”"
15,Feedback-regulated accretion onto the first black holes,4,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:W7OEmFMy1HYC,"We study radiation-regulated gas accretion onto black holes (BHs) from galactic scales emphasizing the role of thermal and radiation pressures in limiting gas supply to the BH. We explore how the gas accretion depends on free parameters such as radiative efficiency, BH mass, ambient gas density/temperature, and the spectrum of the emitted radiation assuming simple initial conditions, as in the Bondi-Hoyle-Lyttleton problem. Our numerical simulations show an oscillatory behavior of the accretion rate, and thus the luminosity from the BH. We present a model for the feedback loop and provide analytical relationships for the accretion rate and the period of the accretion bursts. For stationary BHs the mean accretion rate is always less than 1% of the Bondi rate, and the period of the luminosity bursts is proportional to the average size of the ionized hot bubble. We discover that there are two distinct modes of …"
16,Accretion onto black holes from large scales regulated by radiative feedback,2,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:d1gkVwhDpl0C,"This thesis focuses on radiation-regulated gas accretion onto black holes (BHs) from galactic scales emphasizing the role of thermal and radiation pressure in limiting gas supply to the BH. Assuming quasi-spherical symmetry, we explore how the gas accretion depends on free parameters such as radiative efficiency, BH mass, ambient gas density/temperature, and the spectral index of the radiation. Our numerical simulations show an oscillatory behavior of the accretion rate, and thus the luminosity from the BH. We present a model for the feedback loop and provide analytical relationships for the average/maximum accretion rate and the period of the accretion bursts. The thermal structure inside the Strömgren sphere is a key factor for the regulation process, while with increasing ambient gas density and mass of BHs eventually the accretion rate becomes limited by radiation pressure. The period of the luminosity …"
17,Accretion Onto Intermediate-mass Black Holes Regulated By Radiative Feedback,1,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:eQOLeE2rZwMC,"We study gas accretion onto intermediate mass black holes regulated by radiation feedback. We utilize the hydrodynamical code ZEUS-MP with the addition of a ray-tracing module. Our 1D and 2D simulations provide insight into how heating by X-ray and UV radiation influences the gas accretion rate. This allows us to determine how rapidly the first intermediate mass black holes can grow in the early Universe. We confirm the existence of an oscillatory behavior of the accretion rate and we parametrize the accretion duty cycle as a function of the black hole mass, radiative efficiency and interstellar gas properties. We also run simulations of moving intermediate mass black holes."
18,"Gaseous Dynamical Friction in Presence of Black Hole Radiative Feedback (vol 838, pg 103, 2019)",0,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:qUcmZB5y_30C,Description not available
19,AGN feedback in galaxy clusters driven by intermittent accretion of cold gas,0,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:8k81kl-MbHgC,"Recent observations of cool core clusters provide evidence that the presence of cold, atomic and molecular gas in their centers is more common than previously expected. This finding has important implications for the fueling of and feedback from the supermassive black holes (SMBHs) located in central cluster galaxies. Motivated by it, we run a suite of 2D and 3D hydrodynamic simulations to study the efficiency of radio-mode feedback driven by intermittent accretion of cold gas on the central SMBH. This type of fueling drives strong and recurrent AGN feedback episodes, whose duty cycle is determined by the presence of cold gas in the vicinity of the central SMBH. We find that intermittent AGN jets, with duty cycles shorter than the gas cooling time scale at the central region, are considerably more effective in suppressing the cooling flow than steady jets, the power of which does not significantly vary over time …"
20,The Interplay of Radiative and Kinetic Feedback in Galaxy Clusters,0,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:5nxA0vEk-isC,"Motivated by recent observational findings that some cool-core clusters (CCCs) host quasars in their brightest cluster galaxies (BCGs), we use 3D radiation-hydrodynamic simulations to explore the joint role of the radiative and kinetic feedback from supermassive black holes (SMBHs) in BCGs. In our simulations, the central SMBH transitions between the radiatively efficient and radiatively inefficient states on time scales of a few Gyr, as a function of its accretion rate. The time scale for this transition depends on the fraction of power allocated to each feedback mode, and the overall feedback luminosity of the active galactic nucleus (AGN). We find that (a) kinetic feedback must be present at both low and high accretion rates in order to prevent the cooling catastrophe, and (b) its contribution likely accounts for> 10% of the total AGN feedback power, since below this threshold simulated BCGs tend to host radio-loud …"
21,Accretion and feedback from supermassive black holes in galaxy clusters,0,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:WF5omc3nYNoC,"A significant fraction of galaxy clusters, namely the cool-core clusters (CCCs), exhibit a dip in their central temperature profiles, with radiative cooling times much shorter than the Hubble time. Unchecked, radiative cooling of this magnitude is expected to cause the accumulation of cold gas at the cluster center that leads to star formation rates 100-1000 times higher than those inferred by observations. This discrepancy suggests the existence of active heating mechanisms that counteract the overcooling in cluster centers. The dominant mechanism has now been widely recognized as the kinetic feedback from the radio-loud active galactic nuclei (AGNs). Recent observations however find substantial amounts of cold gas in a number of CCCs, as well as evidence that some clusters host quasars in their brightest cluster galaxies, raising questions about the significance of radiative feedback in such systems. In this work …"
22,Efficiency of Dynamical Friction in Presence of Black Hole Radiative Feedback,0,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:roLk4NBRz8UC,"Dynamical friction is a physical mechanism thought to be responsible for pairing of supermassive black holes (SMBHs) in the aftermath of galactic mergers. It arises when a massive perturber traveling through a background medium creates in it a density wake. The wake, which trails the perturber on its trajectory, causes it to slow down by gravitational interaction. In the case of gas rich galactic mergers, dynamical friction allows the SMBHs immersed in gas to shed orbital energy and angular momentum and to sink to the center of the newly formed galaxy where they can form gravitationally bound pairs. The SMBHs which are subject to gaseous dynamical friction inevitably accrete some of the surrounding gas, giving rise to the emission of ionizing radiation that emerges from the innermost parts of their accretion flows. This radiation can dramatically modify the thermodynamic properties of the surrounding gas …"
23,Model for coeval growth of bulges and their seed black holes in presence of radiative feedback,0,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:YsMSGLbcyi4C,"The discovery of billion solar mass accreting black holes at high redshift poses a great challenge for the modeling of the seed black hole (BH) formation and growth. Radiation-hydrodynamic simulations represent a crucial test of plausible scenarios by providing estimated growth rates for the seeds in the intermediate-mass black hole range. Previous works show that radiative feedback from black holes suppresses the cold gas accretion rate dramatically, making it difficult to explain the rapid growth of seed black holes. We however find that the fueling rate of black holes embedded in bulges can increase with the bulge-to-BH mass ratio when the bulge mass is greater than the critical value of∼ 10 6 M⊙. The critical bulge mass is independent of the central black hole mass, thus the growth rate of light seeds (< 10 2 M⊙) and heavy seed black holes (> 10 5 M⊙) exhibits distinct dependencies on the bulge-to-BH mass …"
24,The effect of spectral state transitions in accretion onto black holes regulated by radiative feedback,0,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:ufrVoPGSRksC,"It is known that black hole spectrum in high-energy X-ray shows distinct features switching between hard and soft states depending on the accretion luminosity. Thus, it is important to study how the spectral state transition is linked with the accretion luminosity not only for understanding the physics of the accretion flow but also for estimating the accretion rate. We explore the effect of spectral state transitions of an accreting black hole to the radiation-regulated accretion using radiation-hydrodynamic simulations. First, we explore the relative effects of Compton heating and photo-heating as a function of the spectral slope of a power-law spectrum which is fixed during a simulation. We find that the relative importance of the Compton heating over photo-heating decreases and the oscillatory behavior becomes stronger as the spectrum softens. Our simulations show consistent results with the radiatively inefficient advection …"
25,Radiation-regulated Accretion onto Intermediate-Mass Black Holes,0,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:qjMakFHDy7sC,"We study radiation-regulated gas accretion onto intermediate-mass black holes emphasizing the role of thermal and radiation pressure in limiting gas supply from large scales to the black hole. Assuming quasi-spherical symmetry, we explore how the gas accretion depends on free parameters such as radiative efficiency, black hole mass, ambient gas density/temperature, and the spectral index of the radiation. Our numerical simulations show an oscillatory behavior of the accretion rate, and thus the luminosity from the black hole. We present a model for the feedback loop and provide analytical relationships for the average/maximum accretion rate and the period of the accretion bursts. The thermal structure inside the Stromgren sphere is a key factor for the regulation process. With increasing ambient gas density and mass of black holes, eventually the accretion rate becomes limited by radiation pressure. The …"
26,Department of Astronomy This thesis focuses on radiation-regulated gas accretion onto black holes (BHs) from galactic scales emphasizing the role of thermal and radiation …,0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:hC7cP41nSMkC,results. In most cases the ionization front is located outside of the outer Bondi radius
