Rank,Title,Citations,Year,URL,Description
16,Modeling dynamic prosodic variation for speaker verification.,234,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:u5HHmVD_uO8C,"Statistics of frame-level pitch have recently been used in speaker recognition systems with good results [1, 2, 3]. Although they convey useful long-term information about a speaker’s distribution of f0 values, such statistics fail to capture information about local dynamics in intonation that characterize an individual’s speaking style. In this work, we take a first step toward capturing such suprasegmental patterns for automatic speaker verification. Specifically, we model the speaker’s f0 movements by fitting a piecewise linear model to the f0 track to obtain a stylized f0 contour. Parameters of the model are then used as statistical features for speaker verification. We report results on 1998 NIST speaker verification evaluation. Prosody modeling improves the verification performance of a cepstrum-based Gaussian mixture model system (as measured by a task-specific Bayes risk) by 10%."
17,"Multi-user, multi-domain dialog system",220,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:BQCiT8P4igIC,"(Continued) Primary Examiner—Seong Ah A Shin (57) ABSTRACT A dialog system for use in a multi-user, multi-domain environment. The dialog system understands user requests when multiple users are interacting with each other as well as the dialog system. The dialog system uses multi-human conversational context to improve domain detection. Using interactions between multiple users allows the dialog system to better interpret machine directed conversational inputs in multi-user conversational systems. The dialog system employs topic segmentation to chunk conversations for determining context boundaries. Using general topic seg mentation methods, as well as the specific domain detector trained with conversational inputs collected by a single user system, allows the dialog system to better determine the relevant context. The use of conversational context helps reduce the domain detection error rate …"
18,Session Context Modeling For Conversational Understanding Systems,220,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:b1wdh0AR-JQC,"BACKGROUND0001 Voice-enabled human-machine conversational sys tems, such as Voice interaction with entertainment systems or personal devices, depend on accurate recognition of a user's speech. For example, effective Voice search applications must accurately recognize user-submitted queries or other interac tions so that information returned to the user correlates with the user's intent in submitting the query or action. Within a series of interactions or “turns' with one of these systems, a user might Submit several queries. Typically, the content of those queries changes at a word level or lexical from one turn to the next, but it often shares some relatedness at a semantic or intent level, within the same session. For example, a user may ask about movie and then want to know of nearby loca tions of a theatre where the movie is playing. 0002 This scenario is particularly common in structured domains, such as …"
19,Task driven user intents,219,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:lSLTfruPkqcC,"Identification of user intents may be provided. A plurality of network applications may be identified, and an ontology associated with each of the plurality of applications may be defined. If a phrase received from a user is associated with at least one of the defined ontologies, an action associated with the network application may be executed."
20,Automated learning from a question and answering network of humans,182,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:_Qo2XoVZTnwC,"BACKGROUNDA variety of mechanisms are available to help users search and find electronic information. For example, many elec tronic resources employ search engines to help users locate information. Some search engines even include automated question and answer systems ("" QA robots') that are designed to identify keyword strings that can be interpreted as ques tions. Instead of returning a list of ranked search results, a QA robot returns predetermined answers to known questions. Much of the prior work in building QA robots has been conducted in academic environments and research labs. One organization involved in developing QA robots is the NIST (National institute of Standards & Technology). The NIST sponsors TREC (Text Retrieval Conference) to promote the QA robot development effort. The NIST TREC efforts have influenced to a large extent much of the QA robot design endeavors.A basic …"
21,Augmented conversational understanding agent to identify conversation context between two humans and taking an agent action thereof,173,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:0aNKY9CYzMkC,"An augmented conversational understanding agent may be provided. Upon receiving, by an agent, at least one natural language phrase from a user, a context associated with the at least one natural language phrase may be identified. The natural language phrase may be associated, for example, with a conversation between the user and a second user. An agent action associated with the identified context may be performed according to the at least one natural language phrase and a result associated with performing the action may be displayed, wherein the agent action comprises providing a list of movies, a list of night clubs, a search for restaurants, or other action suggestions."
22,Augmented conversational understanding agent to identify conversation context between two humans and taking an agent action thereof,173,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:BZGggv0hN9sC,"An augmented conversational understanding agent may be provided. Upon receiving, by an agent, at least one natural language phrase from a user, a context associated with the at least one natural language phrase may be identified. The natural language phrase may be associated, for example, with a conversation between the user and a second user. An agent action associated with the identified context may be performed according to the at least one natural language phrase and a result associated with performing the action may be displayed, wherein the agent action comprises providing a list of movies, a list of night clubs, a search for restaurants, or other action suggestions."
23,A model-based transformational approach to robust speaker recognition.,170,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:u-x6o8ySG0sC,"A novel statistical modeling and compensation method for robust speaker recognition is presented. The method specifically addresses the degradation in speaker verification performance due to the mismatch in channels (eg, telephone handsets) between enrollment and testing sessions. In mismatched conditions, the new approach uses speaker-independent channel transformations to synthesize a speaker model that corresponds to the channel of the testing session. Effectively verification is always performed in matched channel conditions. Results on the 1998 NIST Speaker Recognition Evaluation corpus show that the new approach yields performance that matches the best reported results. Specifically, our approach yields similar improvements (19.9% reduction in EER compared to CMN alone) as the HNORM score-based compensation method, but with a fraction of the training time."
24,Robust text-independent speaker identification over telephone channels,159,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:9yKSN-GCB0IC,"This paper addresses the issue of closed-set text-independent speaker identification from samples of speech recorded over the telephone. It focuses on the effects of acoustic mismatches between training and testing data, and concentrates on two approaches: (1) extracting features that are robust against channel variations and (2) transforming the speaker models to compensate for channel effects. First, an experimental study shows that optimizing the front end processing of the speech signal can significantly improve speaker recognition performance. A new filterbank design is introduced to improve the robustness of the speech spectrum computation in the front-end unit. Next, a new feature based on spectral slopes is described. Its ability to discriminate between speakers is shown to be superior to that of the traditional cepstrum. This feature can be used alone or combined with the cepstrum. The second part of …"
25,Towards zero-shot frame semantic parsing for domain scaling,157,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:YiZc1oW-E3oC,"State-of-the-art slot filling models for goal-oriented human/machine conversational language understanding systems rely on deep learning methods. While multi-task training of such models alleviates the need for large in-domain annotated datasets, bootstrapping a semantic parsing model for a new domain using only the semantic frame, such as the back-end API or knowledge graph schema, is still one of the holy grail tasks of language understanding for dialogue systems. This paper proposes a deep learning based approach that can utilize only the slot description in context without the need for any labeled or unlabeled in-domain examples, to quickly bootstrap a new domain. The main idea of this paper is to leverage the encoding of the slot names and descriptions within a multi-task deep learned slot filling model, to implicitly align slots across domains. The proposed approach is promising for solving the domain scaling problem and eliminating the need for any manually annotated data or explicit schema alignment. Furthermore, our experiments on multiple domains show that this approach results in significantly better slot-filling performance when compared to using only in-domain data, especially in the low data regime."
