Rank,Title,Citations,Year,URL,Description
21,Rethinking Menstrual Trackers Towards Period-Positive Ecologies,88,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:5Ul4iDaHHb8C,"Menstrual tracking is a mechanism widely engaged towards preserving menstrual dignity, as natural birth control, for ensuring adequate preparation for an upcoming cycle, among other motivations. We investigate the design of digital menstrual trackers towards enabling period-positive ecologies in otherwise stigmatized contexts. We examine menstrual tracking practices across ages (12–65 yrs.) using a combination of methods—3 surveys (450+ responses), a cultural probe (10 adolescents), interviews (16 adults), and a review of (9) mobile applications. Our analysis highlights the diversity across menstrual tracking practices and the role of relationships in influencing these practices throughout the menstrual journey. We also identify menstrual tracking as an avenue towards the emancipation of those who menstruate. Finally, we draw on Martha Nussbaum’s central human capabilities to discuss sociotechnical …"
22,"Examining the"" Global"" Language of Emojis: Designing for Cultural Representation",86,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:f2IySw72cVMC,"Emojis are becoming an increasingly popular mode of communication between individuals worldwide, with researchers claiming them to be a type of ""ubiquitous language'' that can span different languages due to its pictorial nature. Our study uses a combination of methods to examine how emojis are adopted and perceived by individuals from diverse cultural backgrounds and 45 countries. Our survey and interview findings point to the existence of a cultural gap between user perceptions and the current emoji standard. Using participatory design, we sought to address this gap by designing 40 emojis and conducted another survey to evaluate their acceptability compared to existing Japanese emojis. We also draw on participant observation from a Unicode Consortium meeting on emoji addition. Our analysis leads us to discuss how emojis might be made more inclusive, diverse, and representative of the …"
23,Ai in global health: The view from the front lines,84,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:D_sINldO8mEC,"There has been growing interest in the application of AI for Social Good, motivated by scarce and unequal resources globally. We focus on the case of AI in frontline health, a Social Good domain that is increasingly a topic of significant attention. We offer a thematic discourse analysis of scientific and grey literature to identify prominent applications of AI in frontline health, motivations driving this work, stakeholders involved, and levels of engagement with the local context. We then uncover design considerations for these systems, drawing from data from three years of ethnographic fieldwork with women frontline health workers and women from marginalized communities in Delhi (India). Finally, we outline an agenda for AI systems that target Social Good, drawing from literature on HCI4D, post-development critique, and transnational feminist theory. Our paper thus offers a critical and ethnographic perspective to …"
24,Care as a resource in underserved learning environments,84,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:SeFeTyx0c_EC,"We present results from an ethnographic inquiry of technology-based learning at an after-school learning center in Mumbai (India) that caters to students from neighboring slum communities.We conducted participant observation for 120 hours and 58 semi-structured interviews with different stakeholders (including teachers, staff, parents, and students) at the center over nine weeks from December 2015 to July 2016. Taking an assets-based approach in an underserved context, we uncover the role of care as a resource and present the rich and varied caring behaviors enacted in this sociotechnical system.We then discuss how care effects a greater sense of ownership, interdependency, and community. Examining the role of aligning values in motivating caring behavior, we conclude with recommendations for supporting, leveraging, and extending care via technology design in an underserved, technology-enhanced …"
25,From Needs to Strengths: Operationalizing an Assets-Based Design of Technology,82,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:4fKUyHm3Qg0C,"Guided by a human-centered design focus on users' needs, Computer-Supported Collaborative Work (CSCW) research and practice have increasingly explored how to address the multiple inequities affecting historically marginalized groups. A growing body of CSCW and Human-Computer Interaction (HCI) research, building upon education and community development literature, argues that centering on needs dismisses marginalized users' capacity for driving change. Needs-based views often lead to designs for the ""here and now,'' further marginalizing populations and perpetuating stereotypes. In contrast, an assets-based approach that puts users' knowledge, strengths, and capacities---\textitassets ---at the core of design can better promote sustained impact. Translating assets into meaningful designs that interact with intersecting systems of oppression, however, raises critical questions:What are assets …"
26,Bridging disconnected knowledges for community health,82,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:ldfaerwXgEUC,"We conducted a field study of Mohalla Clinics in Delhi (India), drawing on Haraway's work to highlight the importance of considering disparate, partial perspectives in the ecologies of such clinics. We emphasized that inadequate attention given to patients' and health workers' perspectives, and the low preparedness of the doctors at the clinics, resulted in the clinics being unable to address the needs of target patient groups. We concluded by contributing to ongoing, important conversations in the fields of ICTD, CSCW, and HCI towards redesigning healthcare interventions, revisiting patient empowerment, and redefining the role of ASHAs as infomediaries."
27,Mental health in the global south: challenges and opportunities in HCI for development,81,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:abG-DnoFyZgC,"Mental illness is rapidly gaining recognition as a serious global challenge. Recent human-computer interaction (HCI) research has investigated mental health as a domain of concern, but is yet to venture into the Global South, where the problem exhibits a more complex, intersectional nature. In this paper, we review work on mental health in the Global South and present a case for HCI for Development (HCI4D) to look at mental health-both because it is an inarguably important area of concern in itself, and also because it impacts the efficacy of HCI4D interventions in other domains. We consider the role of cultural and resource-based interactions towards accessibility challenges and continuing stigma around mental health. We also identify participants' mental health as a constant consideration for HCI4D and present best practices for measuring and incorporating it. As an example, we demonstrate how both the …"
28,Braving citational justice in human-computer interaction,78,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:5ugPr518TE4C,"Citations are central to the production and sharing of knowledge, and how, why, and where citations are used has been an intense subject of study across disciplines. We discuss citational practices and the politics of knowledge production within the field of Human-Computer Interaction (HCI), drawing on parallels from related fields, and reflecting on our own experiences of being cited and not cited, citing and not citing. We also present recommendations for making concrete changes across the individual and the structural in HCI, related to how citations are viewed, and how the field might advance in solidarity towards greater citational justice."
29,Sociocultural Dimensions of Tracking Health and Taking Care,78,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:08ZZubdj9fEC,"The field of personal health informatics has received increasing attention within the CSCW and HCI communities as health tracking becomes more affordable, accessible, and pervasive. Chronic disease management, in particular, presents tremendous potential for intervention given patients' ability to now actively participate in their care through tracking. The focus on 'personal' in health informatics, however, obfuscates the role of other cultural and ecological factors that might shape health tracking behaviors, and important information from alternative sources could be ignored by virtue of being subjective, complex, or simply hard to collect. To dig deeper into these negative spaces that may go untracked, uncover potential sources of important health information, and more completely understand current tracking practices, we embarked on an interview study with patients with cardiac diseases in Bangalore, India. In …"
30,Aspirations-based design,78,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:rO6llkc54NcC,"We present a case for aspirations-based design by drawing on a qualitative inquiry into the lives of young girls in rural West Bengal (India). These girls form a particularly vulnerable population, coming from an area known to be susceptible to sex trafficking and crimes against women. We leverage our findings to engage with Kentaro Toyama's call for greater attention to aspirations in designing technology for development [51]. We highlight the aspirations of and for these girls and reflect on the embedded, temporal, and mutable qualities of these aspirations. Finally, we examine how an aspirations-based design approach might factor these qualities into technology design. Although our analysis draws on empirical findings from rural/suburban India, the insights derived from this research are relevant for the process of designing technologies towards fulfillment of aspirations, more generally."
31,“Can I Not Be Suicidal on a Sunday?”: Understanding Technology-Mediated Pathways to Mental Health Support,75,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:bnK-pcrLprsC,"Individuals in distress adopt varied pathways in pursuit of care that aligns with their individual needs. Prior work has established that the first resource an individual leverages can influence later care and recovery, but less is understood about how the design of a point of care might interact with subsequent pathways to care. We investigate how the design of the Indian mental health helpline system interacts with complex sociocultural factors to marginalize caller needs. We draw on interviews with 18 helpline stakeholders, including individuals who have engaged with helplines in the past, shedding light on how they navigate both technological and structural barriers in pursuit of relief. Finally, we use a design justice framework rooted in Amartya Sen’s conceptualization of realization-focused justice to discuss implications and present recommendations towards the design of technology-mediated points of mental …"
32,"Knowledge, access, and decision-making: Women's financial inclusion in Pakistan",75,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:vV6vV6tmYwMC,"In resource-constrained economies, lack of financial participation prohibits women's economic empowerment and opportunities to improve circumstances. With the advent of Digital Financial Services (DFS), a growing emphasis has been placed on the possible positive impact of DFS on lives of individuals. However, for people to understand, adopt, and use DFS, they require certain prerequisites and enablers. In this paper, we use a mixed methods approach to analyze the gendered barriers in the readiness for and adoption of DFS as well as the impact of gendered roles in curtailing or enhancing the same. We present our analysis of 51 semi-structured interviews to evaluate the affordances or, lack thereof, in affordability of funds, authority of transactions, access to technological devices, and agency of social and cultural mobility--all of which are prerequisites to fully utilizing DFS. We discuss the sociocultural and …"
33,"Taking the Long, Intersectional, and Holistic View to Women's Wellbeing",73,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:uWQEDVKXjbEC,Description not available
34,Examining Low-Cost Virtual Reality for Learning in Low-Resource Environments,71,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:r0BpntZqJG4C,"We describe our experiences co-designing low-cost Virtual Reality-augmented learning experiences with and for an after-school learning center in Mumbai, India that caters to low-income children from neighboring communities. In partnership with 5 staff members and 16 students at the center, we spent 7 weeks co-designing, piloting, and iterating on VR lessons targeting 28 academic topics over a total of 15 classroom sessions. We found that VR was used to demonstrate real-world phenomena, illustrate abstract concepts, compare and contrast places in the curriculum against virtual landmarks, and motivate students. Most importantly, VR's representational fidelity appeared to arouse students' curiosity, leading them to ask more questions that reflected deeper engagement with the topic."
35,Towards an AI-Powered Future that Works for Vocational Workers,69,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:KxtntwgDAa4C,"The future of work is speculated to undergo profound change with increased automation. Predictable jobs are projected to face high susceptibility to technological developments. Many economies in Global South are built around outsourcing and manual labour, facing a risk of job insecurity. In this paper, we examine the perceptions and practices around automated futures of work among a population that is highly vulnerable to algorithms and robots entering rule-based and manual domains: vocational technicians. We present results from participatory action research with 38 vocational technician students of low socio-economic status in Bangalore, India. Our findings show that technicians were unfamiliar with the growth of automation, but upon learning about it, articulated an emic vision for a future of work in-line with their value systems. Participants felt excluded by current technological platforms for skilling and job …"
36,The future of care work: towards a radical politics of care in CSCW research and practice,68,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:kRWSkSYxWN8C,"Computer-Supported Cooperative Work (CSCW) and Human- Computer Interaction (HCI) have long studied how technology can support material and relational aspects of care work, typically in clinical healthcare settings. More recently, we see increasing recognition of care work such as informal healthcare provision, child and elderly care, organizing and advocacy, domestic work, and service work. However, the COVID-19 pandemic has underscored long-present tensions between the deep necessity and simultaneous devaluation of our care infrastructures. This highlights the need to attend to the broader social, political, and economic systems that shape care work and the emerging technologies being used in care work. This leads us to ask several critical questions: What counts as care work and why? How is care work (de)valued, (un)supported, or coerced under capitalism and to what end? What narratives …"
