Rank,Title,Citations,Year,URL,Description
11,"Security in the wild: user strategies for managing security as an everyday, practical problem",545,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:Y0pCki6q_DkC,"Ubiquitous and mobile technologies create new challenges for system security. Effective security solutions depend not only on the mathematical and technical properties of those solutions, but also on people’s ability to understand them and use them as part of their work. As a step towards solving this problem, we have been examining how people experience security as a facet of their daily life, and how they routinely answer the question, “is this system secure enough for what I want to do?” We present a number of findings concerning the scope of security, attitudes towards security, and the social and organizational contexts within which security concerns arise, and point towards emerging technical solutions."
12,Making sense of sensing systems: five questions for designers and researchers,531,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:IjCSPb-OGe4C,"This paper borrows ideas from social science to inform the design of novel ""sensing"" user-interfaces for computing technology. Specifically, we present five design challenges inspired by analysis of human-human communication that are mundanely addressed by traditional graphical user interface designs (GUIs). Although classic GUI conventions allow us to finesse these questions, recent research into innovative interaction techniques such as 'Ubiquitous Computing' and 'Tangible Interfaces' has begun to expose the interaction challenges and problems they pose. By making them explicit we open a discourse on how an approach similar to that used by social scientists in studying human-human interaction might inform the design of novel interaction mechanisms that can be used to handle human-computer communication accomplishments"
13,“My Roomba is Rambo”: intimate home appliances,477,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:ULOm3_A8WrAC,"Robots have entered our domestic lives, but yet, little is known about their impact on the home. This paper takes steps towards addressing this omission, by reporting results from an empirical study of iRobot’s RoombaTM, a vacuuming robot. Our findings suggest that, by developing intimacy to the robot, our participants were able to derive increased pleasure from cleaning, and expended effort to fit Roomba into their homes, and shared it with others. These findings lead us to propose four design implications that we argue could increase people’s enthusiasm for smart home technologies."
14,Wan2tlk? Everyday text messaging,391,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:Tyk-4Ss8FVUC,"Texting--using a mobile phone to send text messages--has become a form of mass communication. Building on studies that described how British teenagers have incorporated text messaging into their lives, we examine the purposes and nature of the conversations themselves. We also present findings that suggest that teenagers do not have many simultaneous multiple conversations via text messaging; end most text messaging conversations by switching to another medium; and, that, despite popular beliefs, communicate with surprisingly few friends via their mobile phones. Finally we describe how and what words they shorten in their text messages."
15,User interface for translating natural language inquiries into database queries and data presentations,380,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:mVmsd5A6BfQC,"A natural language-based interface data presentation System interfaces, for example, information visualization System interfaces, is realized by employing So-called open-ended natural language inquiries to the interface that translates them into database queries and a set of information to be provided to a user. More Specifically, a natural language inquiry is translated to database queries by determining if any complete database queries can be formulated based on the natural language inquiry and, if So, Specifying which complete database queries are to be made. In accordance with one aspect of the invention, knowledge of the infor mation visualization presentation is advantageously employed in the interface to guide a user in response to the user's natural language inquiries. In accordance with another aspect of the invention, knowledge of the database and knowledge of the information visualization …"
16,Getting to green: understanding resource consumption in the home,340,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:UebtZRa9Y70C,"Rising global energy demands, increasing costs and limited natural resources mean that householders are more conscious about managing their domestic resource consumption. Yet, the question of what tools Ubicomp researchers can create for residential resource management remains open. To begin to address this omission, we present a qualitative study of 15 households and their current management practices around the water, electricity and natural gas systems in the home. We find that in-the-moment resource consumption is mostly invisible to householders and that they desire more real-time information to help them save money, keep their homes comfortable and be environmentally friendly. Designing for domestic sustainability therefore turns on improving the visibility of resource production and consumption costs as well as supporting both individuals and collectives in behavior change. Domestic …"
17,Quality versus quantity: E-mail-centric task management and its relation with overload,334,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:ufrVoPGSRksC,"It is widely acknowledged that many professionals suffer from ""e-mail overload."" This article presents findings from in-depth fieldwork that examined this phenomenon, uncovering six key challenges of task management in e-mail. Analysis of qualitative and quantitative data suggests that it is not simply the quantity but also the collaborative quality of e-mail task and project management that causes this overload. We describe how e-mail becomes especially overwhelming when people use it for tasks that involve participation of others; tasks cannot be completed until a response is obtained and so they are interleaved. Interleaving means that the e-mail user must somehow simultaneously keep track of multiple incomplete tasks, often with the only reminder for each one being an e-mail message somewhere in the inbox or a folder. This and other insights from our fieldwork led us to a new design philosophy for e-mail in …"
18,Sotto voce: exploring the interplay of conversation and mobile audio spaces,318,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:W7OEmFMy1HYC,"In addition to providing information to individual visitors, electronic guidebooks have the potential to facilitate social interaction between visitors and their companions. However, many systems impede visitor interaction. By contrast, our electronic guidebook, Sotto Voce, has social interaction as a primary design goal. The system enables visitors to share audio information - specifically, they can hear each other's guidebook activity using a technologically mediated audio eavesdropping mechanism. We conducted a study of visitors using Sotto Voce while touring a historic house. The results indicate that visitors are able to use the system effectively, both as a conversational resource and as an information appliance. More surprisingly, our results suggest that the technologically mediated audio often cohered the visitors' conversation and activity to a far greater degree than audio delivered through the open air"
19,Evaluating human-robot interaction: Focusing on the holistic interaction experience,315,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:lSLTfruPkqcC,"The experience of interacting with a robot has been shown to be very different in comparison to people’s interaction experience with other technologies and artifacts, and often has a strong social or emotional component—a difference that poses potential challenges related to the design and evaluation of HRI. In this paper we explore this difference, and its implications on evaluating HRI. We outline how this difference is due in part to the general complexity of robots’ overall context of interaction, related to their dynamic presence in the real world and their tendency to invoke a sense of agency.We suggest that due to these differences HCI evaluation methods should be applied to HRI with care, and we present a survey of select HCI evaluation techniques from the perspective of the unique challenges of robots. We propose a view on social interaction with robots that we call the holistic interaction experience, and …"
20,Revisiting the visit: Understanding how technology can shape the museum visit,312,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:YsMSGLbcyi4C,"This paper reports findings from a study of how a guidebook was used by pairs of visitors touring a historic house. We describe how the guidebook was incorporated into their visit in four ways: shared listening, independent use, following one another, and checking in on each other. We discuss how individual and groupware features were adopted in support of different visiting experiences, and illustrate how that adoption was influenced by social relationships, the nature of the current visit, and any museum visiting strategies that the couples had. Finally, we describe how the guidebook facilitated awareness between couples, and how awareness of non-guidebook users (strangers) influenced use."
