name,google_scholar_url
KARTIK GOYAL,https://scholar.google.com/citations?user=Lz6-_iIAAAAJ&hl=en
Kai Wang,https://scholar.google.com/citations?user=spWVns8AAAAJ&hl=en
Ketan Bhardwaj,https://scholar.google.com/citations?user=vlV_GoEAAAAJ&hl=en
Kexin Rong,https://scholar.google.com/citations?user=C8LDYK0AAAAJ&hl=en
Kim  Luong MacLeod,https://scholar.google.com/citations?user=cRvSNzIAAAAJ&hl=en
Kristine Nagel,https://scholar.google.com/citations?user=F0HhkJIAAAAJ&hl=en
Kuldeep S. Meel,https://scholar.google.com/citations?user=bvW5Hs8AAAAJ&hl=en
KwangHo Park,https://scholar.google.com/citations?user=CpVsPWEAAAAJ&hl=en
Larry Heck,https://scholar.google.com/citations?user=33ZWJmEAAAAJ&hl=en
Lien Diaz,https://scholar.google.com/citations?user=2--dZP0AAAAJ&hl=en
Ling Liu,https://scholar.google.com/citations?user=VIwtdckAAAAJ&hl=en
Mahender Mandala,https://scholar.google.com/citations?user=E2Idm8UAAAAJ&hl=en
Mark Borodovsky,https://scholar.google.com/citations?user=ciQ3dn0AAAAJ&hl=en
Mark Riedl,https://scholar.google.com/citations?user=Yg_QjxcAAAAJ&hl=en
Matthew Gombolay,https://scholar.google.com/citations?user=Ihyz20wAAAAJ&hl=en
Max Mahdi Roozbahani,https://scholar.google.com/citations?user=W8oVUI8AAAAJ&hl=en
Melody Moore Jackson,https://scholar.google.com/citations?user=83SAwBsAAAAJ&hl=en
Michael A. Specter,https://scholar.google.com/citations?user=lHmMK_4AAAAJ&hl=en
Michael Donald Bailey,https://scholar.google.com/citations?user=sMnocAYAAAAJ&hl=en
Milos Prvulovic,https://scholar.google.com/citations?user=A_j_baAAAAAJ&hl=en
Moinuddin Qureshi,https://scholar.google.com/citations?user=EWU0STsAAAAJ&hl=en
Mostafa Ammar,https://scholar.google.com/citations?user=OT79Y9UAAAAJ&hl=en
Munmun De Choudhury,https://scholar.google.com/citations?user=Z9Pfp6UAAAAJ&hl=en
Mustaque Ahamad,https://scholar.google.com/citations?user=xkCYK58AAAAJ&hl=en
Nabil Imam,https://scholar.google.com/citations?user=72afgH4AAAAJ&hl=en
Naveena Karusala,https://scholar.google.com/citations?user=S3yqENkAAAAJ&hl=en
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en
Nicholas Lytle,https://scholar.google.com/citations?user=U-Dk-1QAAAAJ&hl=en
Nimisha Roy,https://scholar.google.com/citations?user=5BWj5TgAAAAJ&hl=en
Paul Pearce,https://scholar.google.com/citations?user=JvY2c4YAAAAJ&hl=en
Peng Chen,https://scholar.google.com/citations?user=AaVPa5kAAAAJ&hl=en
Peter A. Freeman,https://scholar.google.com/citations?user=1kW15d8AAAAJ&hl=en
Peter Swire,https://scholar.google.com/citations?user=8ThYcf8AAAAJ&hl=en
Polo Chau,https://scholar.google.com/citations?user=YON32W4AAAAJ&hl=en
Qi Tang,https://scholar.google.com/citations?user=EtoOcLMAAAAJ&hl=en
Qirun Zhang,https://scholar.google.com/citations?user=u0TKjhIAAAAJ&hl=en
Raphael Pestourie,https://scholar.google.com/citations?user=Lxv3W74AAAAJ&hl=en
Rebecca E. Grinter,https://scholar.google.com/citations?user=PNalJ58AAAAJ&hl=en
Richard DeMillo,https://scholar.google.com/citations?user=kK3b1SAAAAAJ&hl=en
Richard Fujimoto,https://scholar.google.com/citations?user=q1bkP7AAAAAJ&hl=en
Richard Henneman,https://scholar.google.com/citations?user=of5e53cAAAAJ&hl=en
Richard Vuduc,https://scholar.google.com/citations?user=CCGI7x4AAAAJ&hl=en
Rodrigo Borela,https://scholar.google.com/citations?user=hvEtgbYAAAAJ&hl=en
Rosa I. Arriaga,https://scholar.google.com/citations?user=TaR3dq4AAAAJ&hl=en
Russell Clark,https://scholar.google.com/citations?user=dJy9rgYAAAAJ&hl=en
Ryan Shandler,https://scholar.google.com/citations?user=BlL6XAsAAAAJ&hl=en
Sahil Singla,https://scholar.google.com/citations?user=BHZT068AAAAJ&hl=en
Saman Zonouz,https://scholar.google.com/citations?user=kgFnNewAAAAJ&hl=en
Santosh Pande,https://scholar.google.com/citations?user=w55j5-8AAAAJ&hl=en
Santosh S. Vempala,https://scholar.google.com/citations?user=hRggMmIAAAAJ&hl=en
Sashank Varma,https://scholar.google.com/citations?user=kq16N1AAAAAJ&hl=en
Sehoon Ha,https://scholar.google.com/citations?user=Q6F3O0sAAAAJ&hl=en
Shamkant B Navathe,https://scholar.google.com/citations?user=_Z12v2IAAAAJ&hl=en
Shaowen Bardzell,https://scholar.google.com/citations?user=aD5ev8QAAAAJ&hl=en
Simon Pak Ho Chung,https://scholar.google.com/citations?user=qGeaSCYAAAAJ&hl=en
Sonia Chernova,https://scholar.google.com/citations?user=EYo_WkEAAAAJ&hl=en
Spencer H. Bryngelson,https://scholar.google.com/citations?user=dM-nHdMAAAAJ&hl=en
Srijan Kumar,https://scholar.google.com/citations?user=kqfLNK8AAAAJ&hl=en
Srinivas Aluru,https://scholar.google.com/citations?user=YOGOScoAAAAJ&hl=en
Stephen Mussmann,https://scholar.google.com/citations?user=Q_Pud88AAAAJ&hl=en
Suguman Bansal,https://scholar.google.com/citations?user=bd9Rk1MAAAAJ&hl=en
Surya R. Kalidindi,https://scholar.google.com/citations?user=C2k6mYwAAAAJ&hl=en
Taesoo Kim,https://scholar.google.com/citations?user=06hgT8gAAAAJ&hl=en
Tamara Pearson,https://scholar.google.com/citations?user=dYtRH80AAAAJ&hl=en
Teodora Baluta,https://scholar.google.com/citations?user=HXcs2NIAAAAJ&hl=en
Thomas Ploetz,https://scholar.google.com/citations?user=kM95eWgAAAAJ&hl=en
Tom Conte,https://scholar.google.com/citations?user=FzBDS4gAAAAJ&hl=en
Umakishore Ramachandran,https://scholar.google.com/citations?user=J1tqbNAAAAAJ&hl=en
Vassilis Zikas,https://scholar.google.com/citations?user=bsFxGUIAAAAJ&hl=en
Victor Fung,https://scholar.google.com/citations?user=2QsddMIAAAAJ&hl=en
Vijay Ganesh,https://scholar.google.com/citations?user=YP23eR0AAAAJ&hl=en
"Vijay Madisetti, Fellow IEEE",https://scholar.google.com/citations?user=_cAwG4gAAAAJ&hl=en
Vivek Sarkar,https://scholar.google.com/citations?user=XjeIqxYAAAAJ&hl=en
Vladimir Kolesnikov,https://scholar.google.com/citations?user=1vwuDM4AAAAJ&hl=en
"Wei ""Coco"" Xu",https://scholar.google.com/citations?user=BfOdG-oAAAAJ&hl=en
Wenke Lee,https://scholar.google.com/citations?user=nfkH5V4AAAAJ&hl=en
Will Perkins,https://scholar.google.com/citations?user=5HJzWMUAAAAJ&hl=en
Will Powell,https://scholar.google.com/citations?user=s7kve5EAAAAJ&hl=en
William Gelder,https://scholar.google.com/citations?user=Y67rbX0AAAAJ&hl=en
Xiuwei Zhang,https://scholar.google.com/citations?user=8n-iVhwAAAAJ&hl=en
Yalong Yang,https://scholar.google.com/citations?user=B2Qy_xAAAAAJ&hl=en
Yingyan (Celine) Lin,https://scholar.google.com/citations?user=dio8IesAAAAJ&hl=en
Yunan Luo,https://scholar.google.com/citations?user=N8RBFoAAAAAJ&hl=en
Zachary S. Bischof,https://scholar.google.com/citations?user=NLeeizQAAAAJ&hl=en
Zongchen Chen,https://scholar.google.com/citations?user=_pdhnmwAAAAJ&hl=en
Zsolt Kira,https://scholar.google.com/citations?user=2a5XgNAAAAAJ&hl=en
Zvi Galil,https://scholar.google.com/citations?user=tI3m7CMAAAAJ&hl=en
merrick furst,https://scholar.google.com/citations?user=DDDRx9EAAAAJ&hl=en
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en
Ümit V. Çatalyürek,https://scholar.google.com/citations?user=OLDMURQAAAAJ&hl=en
